College Name,Month/Year Collected,Annual Green Power Usage (kWh),GP% Total Energy Use,Green Power Resources,College State,Rank,Lat,Long,City location of institution,Hours of sunlight per city,Average enrollment from 2020 - 2018
Columbia University,4/26/2021,232109000,100,Various,NY,3,40.80819,-73.958305,New York,2534.7,30889.33
Columbia University,1/25/2021,277892000,100,Various,NY,3,40.80819,-73.958305,New York,2534.7,30889.33
Columbia University,10/19/2020,277892000,100,Various,NY,3,40.80819,-73.958305,New York,2534.7,30889.33
Columbia University,7/27/2020,270897887,100,Wind,NY,3,40.80819,-73.958305,New York,2534.7,30889.33
Columbia University,4/27/2020,270897887,100,Wind,NY,3,40.80819,-73.958305,New York,2534.7,30889.33
Columbia University,1/27/2020,270897887,100,Wind,NY,2,40.80819,-73.958305,New York,2534.7,30889.33
Drexel University,4/26/2021,43913000,52,"Solar, Wind",PA,28,39.95411,-75.186905,Philadelphia,2498.4,24142.67
Drexel University,1/25/2021,43913000,52,"Solar, Wind",PA,30,39.95411,-75.186905,Philadelphia,2498.4,24142.67
Drexel University,10/19/2020,43913000,52,"Solar, Wind",PA,29,39.95411,-75.186905,Philadelphia,2498.4,24142.67
Drexel University,7/27/2020,43913000,52,"Solar, Wind",PA,29,39.95411,-75.186905,Philadelphia,2498.4,24142.67
Drexel University,4/26/2021,87766000,103,"Solar, Wind",PA,17,39.95411,-75.186905,Philadelphia,2498.4,24142.67
Drexel University,1/27/2020,87766000,104,"Solar, Wind",PA,18,39.95411,-75.186905,Philadelphia,2498.4,24142.67
Drexel University,7/29/2019,87766000,104,"Solar, Wind",PA,15,39.95411,-75.186905,Philadelphia,2498.4,24142.67
Drexel University,4/22/2019,87766000,104,"Solar, Wind",PA,15,39.95411,-75.186905,Philadelphia,2498.4,24142.67
Drexel University,2/5/2019,87766000,104,"Solar, wind",PA,15,39.95411,-75.186905,Philadelphia,2498.4,24142.67
Drexel University,10/29/2018,87766000,104,"Solar, Wind",PA,15,39.95411,-75.186905,Philadelphia,2498.4,24142.67
Drexel University,7/23/2018,87766000,104,"Solar, Wind",PA,15,39.95411,-75.186905,Philadelphia,2498.4,24142.67
Drexel University,4/25/2018,87766000,104,"Solar,Wind",PA,15,39.95411,-75.186905,Philadelphia,2498.4,24142.67
Drexel University,1/22/2018,96509000,100,"Solar, Wind",PA,15,39.95411,-75.186905,Philadelphia,2498.4,24142.67
George Washington University,7/26/2021,77797575,57,"Biomass, Solar",DC,18,38.89845,-77.04943,Washington,2527.7,27667.67
George Washington University,4/26/2021,77797575,57,"Biomass, Solar",DC,18,38.89845,-77.04943,Washington,2527.7,27667.67
George Washington University,1/25/2021,73464846,50,Solar,DC,18,38.89845,-77.04943,Washington,2527.7,27667.67
George Washington University,10/19/2020,73464846,50,Solar,DC,17,38.89845,-77.04943,Washington,2527.7,27667.67
George Washington University,7/27/2020,73464846,50,"Solar, Wind",DC,17,38.89845,-77.04943,Washington,2527.7,27667.67
George Washington University,4/27/2020,73464846,50,Solar,DC,19,38.89845,-77.04943,Washington,2527.7,27667.67
George Washington University,1/27/2020,78393980,53,Solar,DC,20,38.89845,-77.04943,Washington,2527.7,27667.67
George Washington University,7/29/2019,78393980,53,Solar,DC,17,38.89845,-77.04943,Washington,2527.7,27667.67
George Washington University,4/22/2019,78393980,53,Solar,DC,17,38.89845,-77.04943,Washington,2527.7,27667.67
George Washington University,2/5/2019,78393980,53,solar,DC,16,38.89845,-77.04943,Washington,2527.7,27667.67
George Washington University,10/29/2018,79501035,65,Solar,DC,16,38.89845,-77.04943,Washington,2527.7,27667.67
George Washington University,7/23/2018,79501035,65,Solar,DC,16,38.89845,-77.04943,Washington,2527.7,27667.67
George Washington University,4/25/2018,79501035,65,Solar,DC,16,38.89845,-77.04943,Washington,2527.7,27667.67
Georgetown University,7/26/2021,152404000,127,Wind,DC,8,38.90832,-77.0713,Washington,2527.7,19389.33
Georgetown University,4/26/2021,152404000,127,Wind,DC,8,38.90832,-77.0713,Washington,2527.7,19389.33
Georgetown University,1/25/2021,152404000,127,Wind,DC,8,38.90832,-77.0713,Washington,2527.7,19389.33
Georgetown University,10/19/2020,159149526,130,Wind,DC,7,38.90832,-77.0713,Washington,2527.7,19389.33
Georgetown University,7/27/2020,159149526,130,Wind,DC,7,38.90832,-77.0713,Washington,2527.7,19389.33
Georgetown University,4/27/2020,159149526,130,Wind,DC,7,38.90832,-77.0713,Washington,2527.7,19389.33
Georgetown University,1/27/2020,159149526,130,Wind,DC,5,38.90832,-77.0713,Washington,2527.7,19389.33
Georgetown University,7/29/2019,159499000,133,Wind,DC,5,38.90832,-77.0713,Washington,2527.7,19389.33
Georgetown University,4/22/2019,159499000,133,Wind,DC,5,38.90832,-77.0713,Washington,2527.7,19389.33
Georgetown University,2/5/2019,159499000,133,Wind,DC,6,38.90832,-77.0713,Washington,2527.7,19389.33
Georgetown University,10/29/2018,159499000,133,Wind,DC,5,38.90832,-77.0713,Washington,2527.7,19389.33
Georgetown University,7/23/2018,159499000,133,Wind,DC,5,38.90832,-77.0713,Washington,2527.7,19389.33
Georgetown University,4/25/2018,159499000,133,Wind,DC,5,38.90832,-77.0713,Washington,2527.7,19389.33
Georgetown University,1/22/2018,159640000,129,Wind,DC,4,38.90832,-77.0713,Washington,2527.7,19389.33
Northeastern University,7/26/2021,106000000,100,Wind,MA,13,42.3398,-71.08961,Boston,2633.6,22246.33
Northeastern University,4/26/2021,106000000,100,Wind,MA,13,42.3398,-71.08961,Boston,2633.6,22246.33
Northwestern University,7/26/2021,100197017,40,"Solar, Wind",IL,14,42.05499,-87.6772,Evanston,2508.4,22392.67
Northwestern University,4/26/2021,100197017,40,"Solar, Wind",IL,14,42.05499,-87.6772,Evanston,2508.4,22392.67
Northwestern University,1/25/2021,100202000,38,"Solar, Wind",IL,13,42.05499,-87.6772,Evanston,2508.4,22392.67
Northwestern University,10/19/2020,100202000,38,"Solar, Wind",IL,12,42.05499,-87.6772,Evanston,2508.4,22392.67
Northwestern University,7/27/2020,100202000,38,"Solar, Wind",IL,13,42.05499,-87.6772,Evanston,2508.4,22392.67
Northwestern University,4/27/2020,100370800,39,"Solar, Wind",IL,15,42.05499,-87.6772,Evanston,2508.4,22392.67
Northwestern University,1/27/2020,100370800,39,"Solar, Wind",IL,16,42.05499,-87.6772,Evanston,2508.4,22392.67
Northwestern University,7/29/2019,100370800,39,"Solar, Wind",IL,13,42.05499,-87.6772,Evanston,2508.4,22392.67
Northwestern University,4/22/2019,100370800,39,"Solar, Wind",IL,13,42.05499,-87.6772,Evanston,2508.4,22392.67
Northwestern University,2/5/2019,100370800,39,"Solar, WInd",IL,12,42.05499,-87.6772,Evanston,2508.4,22392.67
Northwestern University,10/29/2018,100370800,39,"Solar, Wind",IL,12,42.05499,-87.6772,Evanston,2508.4,22392.67
Northwestern University,7/23/2018,100370800,39,"Solar, Wind",IL,11,42.05499,-87.6772,Evanston,2508.4,22392.67
Northwestern University,4/25/2018,100370800,39,"Solar,",IL,11,42.05499,-87.6772,Evanston,2508.4,22392.67
Northwestern University,1/22/2018,122014800,50,"Solar,Wind",IL,9,42.05499,-87.6772,Evanston,2508.4,22392.67
Ohio University,7/26/2021,69670685,73,"Solar, Wind",OH,20,39.32434355,-82.10142527,Athens,2824,27187
Ohio University,4/26/2021,69670685,73,"Solar, Wind",OH,20,39.32434355,-82.10142527,Athens,2824,27187
Ohio University,1/25/2021,53206118,50,"Solar, Wind",OH,27,39.32434355,-82.10142527,Athens,2824,27187
Ohio University,10/19/2020,53206118,50,"Solar, Wind",OH,26,39.32434355,-82.10142527,Athens,2824,27187
Ohio University,7/27/2020,60689366,50,"Solar, Wind",OH,22,39.32434355,-82.10142527,Athens,2824,27187
Ohio University,4/27/2020,60689366,50,"Solar, Wind",OH,22,39.32434355,-82.10142527,Athens,2824,27187
Ohio University,1/27/2020,60689366,50,"Solar, Wind",OH,23,39.32434355,-82.10142527,Athens,2824,27187
